ID,BASE_ID,VERSION,MATRIX_BASE_ID,MATRIX_VERSION,NAME,LOG_P_1ST_ORDER,LOG_P_DETAILED,EXPERIMENT_NAME
1,TFFM0091,1,MA0002,2,RUNX1,-1042.13,-1004.13,Runx1_GSE22178_jl_AM_mm9_processed
2,TFFM0111,1,MA0003,3,TFAP2A,-5692.29,-5185.55,wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk.narrowPeak
3,TFFM0001,1,MA0007,3,Ar,-5953.68,-5279.01,AR_GSE28264_LNCaP_DHT_hg18_processed
4,TFFM0084,1,MA0014,2,PAX5,-5742.02,-5622.64,wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk.narrowPeak
5,TFFM0012,1,MA0018,2,CREB1,-1042.27,-917.584,wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk.narrowPeak
6,TFFM0016,1,MA0024,3,E2F1,-813.257,-696.441,wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk.narrowPeak
7,TFFM0023,1,MA0028,2,ELK1,-1805.85,-1804.08,wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk.narrowPeak
8,TFFM0040,1,MA0035,3,Gata1,-23524,-23048,wgEncodeSydhTfbsMelGata1IggratPk.narrowPeak
9,TFFM0041,1,MA0036,2,GATA2,-7731.69,-7447.66,wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk.narrowPeak
10,TFFM0042,1,MA0037,2,GATA3,-3539.75,-3761.22,GATA3_GSE29073_MCF-7_none_hg18_processed
11,TFFM0056,1,MA0039,2,Klf4,-3451.72,-3445.53,Klf4_GSE11431_jl_AM_mm8_processed
12,TFFM0036,1,MA0047,2,Foxa2,-24765.6,-24313.5,wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk.narrowPeak
13,TFFM0049,1,MA0050,2,IRF1,-1248.64,-1249.91,wgEncodeAwgTfbsSydhK562Irf1Ifna6hUniPk.narrowPeak
14,TFFM0060,1,MA0052,3,MEF2A,-1924.65,-1879.08,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk.narrowPeak
15,TFFM0059,1,MA0058,3,MAX,-18451.7,-18066.2,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk.narrowPeak
16,TFFM0074,1,MA0060,2,NFYA,-2978.81,-2865.78,NFY_GSE26439_jl_AM_hg18_processed
17,TFFM0039,1,MA0062,2,Gabpa,-4151.57,-4116.48,wgEncodeAwgTfbsHaibK562GabpV0416101UniPk.narrowPeak
18,TFFM0076,1,MA0063,1,Nkx2-5,-465.489,-568.695,Nkx2_5_GSE21529_jl_AM_mm9_processed
19,TFFM0086,1,MA0066,1,PPARG,-2182.07,-2635.13,PPARg_GSE25836_adipocyte_NA_hg18_processed
20,TFFM0024,1,MA0076,2,ELK4,-1768.4,-1731.37,wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk.narrowPeak
21,TFFM0097,1,MA0079,3,SP1,-712.651,-720.642,wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk.narrowPeak
22,TFFM0099,1,MA0080,4,SPI1,-76347.7,-74739.5,Pu1-Spi1_GSE21512_macrophage_NA_mm8_processed
23,TFFM0100,1,MA0083,3,SRF,-3752.45,-3752.45,wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk.narrowPeak
24,TFFM0129,1,MA0088,2,ZNF143,-800.461,-792.625,wgEncodeAwgTfbsSydhHelas3Znf143IggrabUniPk.narrowPeak
25,TFFM0122,1,MA0093,2,USF1,-38580,-39065.9,wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk.narrowPeak
26,TFFM0124,1,MA0095,2,YY1,-9501.11,-9480.09,wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk.narrowPeak
