#uniacc,domains,threshold
P29383;MA0001.2;AGL3
Q01196;MA0002.2;RUNX1
P05549;MA0003.3;TFAP2A
P53762;MA0004.1;Arnt
P17839;MA0005.2;AG
P30561;MA0006.1;Ahr::Arnt
P53762;MA0006.1;Ahr::Arnt
P19091;MA0007.3;Ar
Q02283;MA0008.2;HAT5
O15178;MA0009.2;T
Q01295;MA0010.1;br
Q01295;MA0011.1;br(var.2)
Q01295;MA0012.1;br(var.3)
Q24206;MA0013.1;br(var.4)
Q02548;MA0014.2;PAX5
P20385;MA0015.1;Cf2
P20153;MA0016.1;usp
P10589;MA0017.2;NR2F1
P16220;MA0018.2;CREB1
Q62857;MA0019.1;Ddit3::Cebpa
P05554;MA0019.1;Ddit3::Cebpa
Q41800;MA0020.1;Dof2
Q41801;MA0021.1;Dof3
P15330;MA0022.1;dl
P15330;MA0023.1;dl(var.2)
Q01094;MA0024.3;E2F1
Q16649;MA0025.1;NFIL3
P20105;MA0026.1;Eip74EF
Q05925;MA0027.2;EN1
P19419;MA0028.2;ELK1
A4QPC8;MA0029.1;Mecom
Q12947;MA0030.1;FOXF2
Q16676;MA0031.1;FOXD1
Q12948;MA0032.2;FOXC1
Q12952;MA0033.2;FOXL1
Q96464;MA0034.1;Gam1
P17679;MA0035.3;Gata1
P23769;MA0036.2;GATA2
P23771;MA0037.2;GATA3
Q07120;MA0038.1;Gfi1
Q60793;MA0039.2;Klf4
Q63244;MA0040.1;Foxq1
Q63245;MA0041.1;Foxd3
Q12951;MA0042.2;FOXI1
Q16534;MA0043.2;HLF
Q41026;MA0044.1;HMG-1
Q43877;MA0045.1;HMG-I/Y
P20823;MA0046.2;HNF1A
P35583;MA0047.2;Foxa2
Q02575;MA0048.2;NHLH1
P05084;MA0049.1;hb
P10914;MA0050.2;IRF1
P14316;MA0051.1;IRF2
Q02078;MA0052.3;MEF2A
P38564;MA0053.1;MNB1A
Q02994;MA0054.1;myb.Ph3
P28698;MA0056.1;MZF1
P28698;MA0057.1;MZF1(var.2)
P61244;MA0058.3;MAX
P61244;MA0059.1;MAX::MYC
P01106;MA0059.1;MAX::MYC
P23511;MA0060.2;NFYA
Q91YY8;MA0062.2;Gabpa
P42582;MA0063.1;Nkx2-5
O24463;MA0064.1;PBF
P37238;MA0065.2;Pparg::Rxra
P28700;MA0065.2;Pparg::Rxra
P37231;MA0066.1;PPARG
P32114;MA0067.1;Pax2
O43316;MA0068.2;PAX4
P26367;MA0069.1;Pax6
P40424;MA0070.1;PBX1
P35398;MA0071.1;RORA
P35398;MA0072.1;RORA(var.2)
Q92766;MA0073.1;RREB1
P19793;MA0074.1;RXRA::VDR
P11473;MA0074.1;RXRA::VDR
Q06348;MA0075.2;Prrx2
P28324;MA0076.2;ELK4
P48436;MA0077.1;SOX9
Q61473;MA0078.1;Sox17
P08047;MA0079.3;SP1
P17947;MA0080.4;SPI1
Q01892;MA0081.1;SPIB
Q38742;MA0082.1;squamosa
P11831;MA0083.3;SRF
Q05066;MA0084.1;SRY
P28159;MA0085.1;Su(H)
P08044;MA0086.1;sna
P35710;MA0087.1;Sox5
P52747;MA0088.2;ZNF143
Q90889;MA0089.1;MAFG::NFE2L1
Q5ZL67;MA0089.1;MAFG::NFE2L1
P28347;MA0090.2;TEAD1
P17542;MA0091.1;TAL1::TCF3
P15923;MA0091.1;TAL1::TCF3
Q64279;MA0092.1;Hand1::Tcf3
P15806;MA0092.1;Hand1::Tcf3
P22415;MA0093.2;USF1
P83949;MA0094.2;Ubx
P25490;MA0095.2;YY1
O22676;MA0096.1;bZIP910
O22677;MA0097.1;bZIP911
P14921;MA0098.3;ETS1
P01100;MA0099.2;FOS::JUN
P05412;MA0099.2;FOS::JUN
P06876;MA0100.2;Myb
Q04864;MA0101.1;REL
P49715;MA0102.3;CEBPA
P37275;MA0103.2;ZEB1
P03966;MA0104.3;Mycn
P19838;MA0105.4;NFKB1
P04637;MA0106.3;TP53
Q04206;MA0107.1;RELA
P20226;MA0108.2;TBP
Q95216;MA0109.1;HLTF
P46667;MA0110.2;ATHB-5
Q99MY0;MA0111.1;Spz1
P03372;MA0112.3;ESR1
P04150;MA0113.3;NR3C1
P49698;MA0114.3;Hnf4a
P55055;MA0115.1;NR1H2::RXRA
P19793;MA0115.1;NR1H2::RXRA
O08961;MA0116.1;Znf423
P54841;MA0117.2;Mafb
Q9GRA5;MA0118.1;Macho-1
P08651;MA0119.1;NFIC::TLX1
P31314;MA0119.1;NFIC::TLX1
O65215;MA0120.1;id1
O49397;MA0121.1;ARR10
P78367;MA0122.2;NKX3-2
Q8L7W9;MA0123.1;abi4
P97436;MA0124.2;Nkx3-1
Q8VIH1;MA0125.1;Nobox
P51521;MA0126.1;ovo
Q5DW98;MA0127.1;PEND
P25032;MA0128.1;EmBP-1
P14232;MA0129.1;TGA1A
Q86Y25;MA0130.1;ZNF354C
Q9BQA5;MA0131.2;HINFP
P52945;MA0132.2;PDX1
P38398;MA0133.1;BRCA1
P50481;MA0135.1;Lhx3
Q9UKW6;MA0136.2;ELF5
P42224;MA0137.3;STAT1
Q13127;MA0138.2;REST
P49711;MA0139.1;CTCF
P15976;MA0140.2;GATA1::TAL1
P17542;MA0140.2;GATA1::TAL1
O95718;MA0141.3;ESRRB
P20263;MA0142.1;Pou5f1::Sox2
P48432;MA0142.1;Pou5f1::Sox2
P48432;MA0143.3;Sox2
P40763;MA0144.2;STAT3
Q12800;MA0145.3;TFCP2
P17012;MA0146.2;Zfx
P01108;MA0147.2;Myc
P55317;MA0148.3;FOXA1
F1JVV7;MA0149.1;EWSR1-FLI1
F1JVV8;MA0149.1;EWSR1-FLI1
Q60795;MA0150.2;Nfe2l2
Q62431;MA0151.1;Arid3a
Q13469;MA0152.1;NFATC2
P35680;MA0153.2;HNF1B
Q9UH73;MA0154.3;EBF1
Q01101;MA0155.1;INSM1
Q99581;MA0156.2;FEV
O43524;MA0157.2;FOXO3
P20719;MA0158.1;HOXA5
P10276;MA0159.1;RARA::RXRA
P19793;MA0159.1;RARA::RXRA
P43354;MA0160.1;NR4A2
P08651;MA0161.1;NFIC
P18146;MA0162.2;EGR1
Q6DJT9;MA0163.1;PLAG1
Q9QXZ7;MA0164.1;Nr2e3
P09087;MA0165.1;Abd-B
P02833;MA0166.1;Antp
Q8IRC7;MA0167.1;Awh
Q24255;MA0168.1;B-H1
Q24256;MA0169.1;B-H2
Q7KS72;MA0170.1;C15
Q9VYL0;MA0171.1;CG11085
Q9W3C6;MA0172.1;CG11294
Q9VPL4;MA0173.1;CG11617
Q9W064;MA0174.1;Dbx
Q8MZ02;MA0175.1;lms
Q9VDH9;MA0176.1;CG15696-RA
Q9VEA3;MA0177.1;CG18599
Q9VTW5;MA0178.1;CG32105
Q9VWH1;MA0179.1;CG32532
Q9W4B3;MA0180.1;Vsx2
Q5U1D9;MA0181.1;Vsx1
Q9VTW3;MA0182.1;CG4328-RA
Q9VDF0;MA0183.1;HHEX
Q7YU61;MA0184.1;CG9876
Q24180;MA0185.1;Deaf1
P07548;MA0186.1;Dfd
P20009;MA0187.1;Dll
Q03372;MA0188.1;Dr
Q9VFQ3;MA0189.1;E5
P54366;MA0190.1;Gsc
Q9NHP8;MA0191.1;HGTX
Q9VEI9;MA0192.1;Hmx
Q9W423;MA0193.1;schlank
Q9V472;MA0194.1;Lim1
Q9VJ02;MA0195.1;Lim3
O61640;MA0196.1;NK7.1
P31368;MA0197.2;nub
O96616;MA0198.1;OdsH
Q95RW8;MA0199.1;Optix
Q8T0V5;MA0200.1;Pph13
O18400;MA0201.1;Ptx1
Q9W2Q1;MA0202.1;Rx
P09077;MA0203.1;Scr
Q9Y1P6;MA0204.1;Six4
Q08605;MA0205.1;Trl
P29555;MA0206.1;abd-A
A1Z916;MA0207.1;achi
Q06453;MA0208.1;al
P29673;MA0209.1;ap
Q24248;MA0210.1;ara
P22809;MA0211.1;bap
P09081;MA0212.1;bcd
Q9XTN4;MA0213.1;brk
Q04787;MA0214.1;bsh
Q9U984;MA0215.1;btn
P09085;MA0216.2;cad
P54269;MA0217.1;caup
P10180;MA0218.1;ct
P18488;MA0219.1;ems
P02836;MA0220.1;en
P06602;MA0221.1;eve
P40427;MA0222.1;exd
Q9VSC2;MA0224.1;exex
P02835;MA0225.1;ftz
Q9W2P8;MA0226.1;hbn
O46339;MA0227.1;hth
O96620;MA0228.1;ind
P05527;MA0229.1;inv
P10105;MA0230.1;lab
Q9VDA1;MA0231.1;lbe
P91626;MA0232.1;lbl
O01667;MA0233.1;mirr
P22810;MA0234.1;oc
Q9NJB5;MA0235.1;onecut
P56672;MA0236.1;otp
Q8IMA8;MA0237.2;pan
P31264;MA0238.1;pb
P23758;MA0239.1;prd
Q24477;MA0240.1;repo
P10181;MA0241.1;ro
Q24040;MA0242.1;Bgb::run
P30052;MA0243.1;sd
Q02637;MA0244.1;slbo
P22807;MA0245.1;slou
Q27350;MA0246.1;so
P22711;MA0247.2;tin
Q9VJ37;MA0248.1;tup
P10627;MA0249.1;twi
O77215;MA0250.1;unc-4
Q4V5A3;MA0251.1;unpg
A1Z913;MA0252.1;vis
P22808;MA0253.1;vnd
P16241;MA0254.1;vvl
P09956;MA0255.1;z
P09089;MA0256.1;zen
P09090;MA0257.1;zen2
Q92731;MA0258.2;ESR2
P27540;MA0259.1;ARNT::HIF1A
Q16665;MA0259.1;ARNT::HIF1A
Q966L8;MA0260.1;che-1
Q21446;MA0261.1;lin-14
O18214;MA0262.1;mab-3
P41935;MA0263.1;ceh-10::ttx-3
G5EE86;MA0263.1;ceh-10::ttx-3
P41936;MA0264.1;ceh-22
P14164;MA0265.1;ABF1
Q02486;MA0266.1;ABF2
P21192;MA0267.1;ACE2
P07248;MA0268.1;ADR1
P22149;MA0269.1;AFT1
Q08957;MA0270.1;AFT2
P07249;MA0271.1;ARG80
P05085;MA0272.1;ARG81
Q04052;MA0273.1;ARO80
Q06596;MA0274.1;ARR1
P40467;MA0275.1;ASG1
P34233;MA0276.1;ASH1
P41696;MA0277.1;AZF1
P22035;MA0278.1;BAS1
P24813;MA0279.1;CAD1
P39113;MA0280.1;CAT8
P17106;MA0281.1;CBF1
P40969;MA0282.1;CEP3
P43634;MA0283.1;CHA4
P40917;MA0284.1;CIN5
P53968;MA0285.1;CRZ1
P40535;MA0286.1;CST6
P15315;MA0287.1;CUP2
P41817;MA0288.1;CUP9
P26343;MA0289.1;DAL80
P21657;MA0290.1;DAL81
P21705;MA0291.1;DAL82
Q05958;MA0292.1;ECM22
Q02710;MA0293.1;ECM23
P38073;MA0294.1;EDS1
P39521;MA0295.1;FHL1
P40466;MA0296.1;FKH1
P41813;MA0297.1;FKH2
P32805;MA0298.1;FZF1
P04386;MA0299.1;GAL4
P43574;MA0300.1;GAT1
Q07928;MA0301.1;GAT3
P40569;MA0302.1;GAT4
P03069;MA0303.1;GCN4
P07261;MA0304.1;GCR1
Q01722;MA0305.1;GCR2
Q03833;MA0306.1;GIS1
P18494;MA0307.1;GLN3
P42950;MA0308.1;GSM1
P42944;MA0309.1;GZF3
P41546;MA0310.1;HAC1
Q12180;MA0311.1;HAL9
P0CE41;MA0312.1;HAP1
P06774;MA0313.1;HAP2
P13434;MA0314.1;HAP3
Q02516;MA0316.1;HAP5
P25364;MA0317.1;HCM1
P0CY13;MA0318.1;HMRA2
P10961;MA0319.1;HSF1
P21190;MA0320.1;IME1
P26798;MA0321.1;INO2
P13902;MA0322.1;INO4
P33417;MA0323.1;IXR1
P08638;MA0324.1;LEU3
P40971;MA0325.1;LYS14
P35192;MA0326.1;MAC1
P0CY11;MA0327.1;HMRA1
P0CY08;MA0328.2;MATALPHA2
P39678;MA0329.1;MBP1
P39678;MA0330.1;MBP1::SWI6
P09959;MA0330.1;MBP1::SWI6
P11746;MA0331.1;MCM1
P40573;MA0332.1;MET28
Q03081;MA0333.1;MET31
Q12041;MA0334.1;MET32
P32389;MA0335.1;MET4
P53050;MA0336.1;MGA1
P27705;MA0337.1;MIG1
P53035;MA0338.1;MIG2
P39943;MA0339.1;MIG3
P54785;MA0340.1;MOT3
P33748;MA0341.1;MSN2
P33749;MA0342.1;MSN4
P38830;MA0343.1;NDT80
Q03435;MA0344.1;NHP10
P11632;MA0345.1;NHP6A
P11633;MA0346.1;NHP6B
Q03125;MA0347.1;NRG1
P39720;MA0348.1;OAF1
P21957;MA0349.1;OPI1
P34219;MA0350.1;TOD6
P40059;MA0351.1;DOT6
P12383;MA0352.1;PDR1
P33200;MA0353.1;PDR3
Q06149;MA0354.1;PDR8
P36093;MA0355.1;PHD1
P07269;MA0356.1;PHO2
P07270;MA0357.1;PHO4
P25502;MA0358.1;PUT3
P11938;MA0359.1;RAP1
Q08904;MA0360.1;RDR1
P25611;MA0361.1;RDS1
P19541;MA0362.1;RDS2
P21538;MA0363.1;REB1
P38344;MA0364.1;REI1
P48743;MA0365.1;RFX1
